"La Republica1","QUOTIDIANO","italiano","La Republica","2021-01-31","5","1","2.0","1"
"La Republica2","QUOTIDIANO","italiano","La Republica","2021-01-30","0","0","2.0","2"
"La Republica3","QUOTIDIANO","italiano","La Republica","2021-02-01","10","1","2.0","3"
"La Republica4","QUOTIDIANO","italiano","La Republica","2021-02-02","14","1","2.0","4"
"titolo giornale aggiornato","QUOTIDIANO","italiano","editore modificato","2024-03-05","500","0","2.65","5"
"La Republica6","QUOTIDIANO","italiano","La Republica","2021-02-04","15","1","2.0","6"
"Il Fatto Quotidiano1","QUOTIDIANO","italiano","Il Fatto Quotidiano","2021-01-31","0","0","2.0","7"
"Il Fatto Quotidiano2","QUOTIDIANO","italiano","Il Fatto Quotidiano","2021-01-30","0","0","2.0","8"
"Il Fatto Quotidiano3","QUOTIDIANO","italiano","Il Fatto Quotidiano","2021-02-01","0","0","2.0","9"
"Il Fatto Quotidiano4","QUOTIDIANO","italiano","Il Fatto Quotidiano","2021-02-02","15","1","2.0","10"
"Il Fatto Quotidiano5","QUOTIDIANO","italiano","Il Fatto Quotidiano","2021-02-03","16","1","2.0","11"
"La gazzetta del profeta","QUOTIDIANO","italiano","Hoepli","2022-05-05","-5","1","0.85","12"
